username,white_wins,black_wins
chessluis3894,0,1
chessmanvlg,0,1
chessmaste,0,1
chessmasterhex70,0,1
chessn00b47,0,1
chessnam,0,1
chessnovato,0,1
chesspain22,0,1
chessplaye,0,1
chesspro660,0,1
chessqueen48,0,1
chessssehc,0,1
chesswithcoach,0,1
chessy_7,0,1
chilllax,0,1
chimeravirus,0,1
chimimdq,0,1
chingori,0,1
chinmaysharma,0,1
chipper,0,1
chirulito,0,1
chivitzzz,0,1
cholo19,0,1
chopptimus,0,1
chris5150,0,1
chrisfen,0,1
chrisg97,0,1
chrisitane-taubira,0,1
christianobuys,0,1
christkaps,0,1
chtichessplayer,0,1
chudoyudo,0,1
chuppa,0,1
ciccio999,0,1
cielpaiva,0,1
ciklyk,0,1
ciocirlan,0,1
cipri,0,1
cipriand,0,1
citrus2014,0,1
cixon123,0,1
cjhagberg,0,1
ck666,0,1
cktopshot2,0,1
claudiovaca,0,1
clemens90,0,1
clevernoob,0,1
clikmate,0,1
cloaked,0,1
clumper,0,1
cm0911,0,1
cmcc,0,1
coach01,0,1
cocinda,0,1
cocomo,0,1
cokoy,0,1
colin_ni,0,1
colinconnor814,0,1
columbo1976,0,1
combenk,0,1
computer-1,0,1
conan66,0,1
condor71,0,1
consun,0,1
cookiebiscuit,0,1
coolcalc,0,1
cooper83,0,1
coralcave,0,1
corsanglais,0,1
costinhas,0,1
cozarec,0,1
cptkirchhoff,0,1
cracovia,0,1
craig77,0,1
craigx,0,1
crazyduke7,0,1
crazylambda,0,1
crazymove,0,1
creeks,0,1
creng,0,1
crimson-scythe,0,1
crisbc36,0,1
crissam,0,1
cristianvazquez,0,1
cromanoide,0,1
crucify_me,0,1
crushmik,0,1
cscapsule,0,1
cserpesgabo,0,1
csiga13,0,1
csondi21,0,1
ctnasln,0,1
cupdejan,0,1
curtisptrsn,0,1
cuyomorphy,0,1
cvbj,0,1
cventin,0,1
cyp18,0,1
czechrep,0,1
d3jan11,0,1
d_agbi,0,1
da95,0,1
dac23,0,1
dado-1,0,1
daffa16,0,1
dahlioz,0,1
daimos,0,1
daktilo,0,1
dalmatinac,0,1
damakhlouf,0,1
damanca8,0,1
dambrosio1971,0,1
dandanua,0,1
dands,0,1
danial2222,0,1
danielgoulart,0,1
daniellucho100,0,1
danielmagalhaes,0,1
danielomarto,0,1
danielpnh,0,1
danieluc21,0,1
danielvt22,0,1
danrad,0,1
danseptinusjimb,0,1
dansker,0,1
danspielt,0,1
danst3rs,0,1
danya068,0,1
danyels1cool,0,1
daquan,0,1
dardemoshtarak,0,1
dariushbaz,0,1
